geonameid,name,latitude,longitude,feature_code,country_code,population
5926511,Conception Bay South,47.49989,-52.99806,PPL,CA,17087
5926526,Concord,43.80011,-79.48291,PPL,CA,8255
5926760,Connaught Heights,49.2,-122.95,PPLX,CA,2027
5926968,Constance Bay,45.50011,-76.08267,PPL,CA,2314
5927024,Contrecoeur,45.85008,-73.23245,PPL,CA,3587
5927234,Cookshire,45.41536,-71.62962,PPL,CA,1021
5927235,Cookshire-Eaton,45.41675,-71.6324,PPL,CA,5344
5927277,Cookstown,44.18341,-79.69964,PPL,CA,1214
5927308,Coombs,49.29963,-124.41946,PPL,CA,1612
5927690,Coquitlam,49.2846,-122.78217,PPLA3,CA,148625
5927708,Coral Harbour,64.13829,-83.16539,PPL,CA,1035
5927720,Coral Springs,51.10139,-113.93056,PPLX,CA,5610
5927816,Cordova Bay,48.51667,-123.36667,PPLX,CA,8100
5927969,Corner Brook,48.95001,-57.95202,PPL,CA,18693
5928063,Cornwall,46.22652,-63.21809,PPL,CA,5348
5928065,Cornwall,45.01809,-74.72815,PPL,CA,48821
5928202,Corunna,42.88338,-82.43313,PPL,CA,5686
5928337,Coteau-du-Lac,45.30008,-74.18253,PPL,CA,7044
5928474,Côte-Nord-du-Golfe-du-Saint-Laurent,50.46682,-59.59832,PPL,CA,787
5928488,Côte-Saint-Luc,45.46536,-73.66585,PPL,CA,31395
5928904,Country Hills,51.16359,-114.05468,PPLX,CA,3660
5928905,Country Hills Village,51.15833,-114.06528,PPLX,CA,2480
5928972,Courcelles,45.87492,-70.98378,PPL,CA,800
5930890,Courtenay,49.68657,-124.9936,PPL,CA,25599
5930979,Cove Cliff,49.32282,-122.94888,PPLX,CA,1778
5931006,Coventry Hills,51.16869,-114.05903,PPLX,CA,17350
5931074,Cowansville,45.20008,-72.74913,PPL,CA,10887
5931082,Cow Bay,44.63141,-63.43218,PPL,CA,1619
5931427,Crabtree,45.96677,-73.46586,PPL,CA,2248
5931789,Cranberry Portage,54.58623,-101.37797,PPL,CA,771
5931800,Cranbrook,49.49991,-115.76879,PPL,CA,20047
5932161,Creighton,54.75014,-101.90078,PPL,CA,1203
5932213,Crescent Beach,49.05,-122.88333,PPLX,CA,1200
5932231,Crescent Heights,51.06276,-114.0683,PPLX,CA,6240
5932311,Creston,49.09987,-116.50211,PPL,CA,5583
5932387,Crichton Park,44.68093,-63.56658,PPLX,CA,2576
5932743,Crofton,48.86633,-123.65266,PPL,CA,1446
5933070,Crossfield,51.43341,-114.03528,PPL,CA,2512
5933869,Cultus Lake,49.06667,-121.96667,PPL,CA,1164
5933885,Cumberland,49.61634,-125.03613,PPL,CA,3753
5934665,Dalhousie,51.11161,-114.15876,PPLX,CA,8530
5934685,Dallas,50.66648,-120.16919,PPLX,CA,4479
