geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2806914,Wolfenbüttel,52.16442,10.54095,P,PPLA3,DE,54740
2806919,Wolfen,51.66122,12.26873,P,PPL,DE,25251
2806923,Wolfegg,47.8203,9.79491,P,PPLA4,DE,3440
2806946,Wolfach,48.29319,8.2158,P,PPL,DE,5998
2806959,Woldert,50.6,7.65,P,PPLA4,DE,695
2806963,Woldegk,53.45944,13.58286,P,PPLA4,DE,4144
2806968,Wolde,53.68011,13.08249,P,PPL,DE,735
2807001,Wöhrden,54.16643,8.99466,P,PPLA4,DE,1335
2807010,Wohnste,53.35,9.53333,P,PPLA4,DE,819
2807020,Wohnbach,50.42864,8.82923,P,PPL,DE,1050
2807025,Wohltorf,53.51667,10.28333,P,PPLA4,DE,2249
2807029,Wohlsdorf,51.76451,11.86531,P,PPL,DE,519
2807033,Wohlsborn,51.03333,11.36667,P,PPLX,DE,512
2807042,Wohlmirstedt,51.24761,11.46145,P,PPL,DE,954
2807068,Wohldorf-Ohlstedt,53.69282,10.13117,P,PPLX,DE,4450
2807075,Wohlde,54.40614,9.2989,P,PPLA4,DE,575
2807098,Woggersin,53.60842,13.23086,P,PPL,DE,572
2807136,Wobbenbüll,54.53333,9,P,PPLA4,DE,466
2807138,Wöbbelin,53.40264,11.50147,P,PPL,DE,987
2807141,Wixhausen,49.93085,8.64972,P,PPL,DE,6400
2807143,Witzwort,54.4,8.98333,P,PPLA4,DE,966
2807153,Witzmannsberg,48.71667,13.41667,P,PPLA4,DE,0
2807154,Witzmannsberg,48.62224,13.49444,P,PPL,DE,1742
2807163,Witzleben,50.81667,11.11667,P,PPLA4,DE,697
2807171,Witzin,53.72302,11.92127,P,PPL,DE,536
2807177,Witzhave,53.56667,10.33333,P,PPLA4,DE,1446
2807184,Witzenhausen,51.34103,9.8554,P,PPL,DE,16055
2807194,Witzeeze,53.45153,10.60796,P,PPLA4,DE,936
2807201,Wittstock,53.16118,12.48287,P,PPL,DE,17361
2807212,Wittorf,54.05653,9.96701,P,PPL,DE,5809
2807213,Wittorf,53.33333,10.38333,P,PPLA4,DE,1384
2807214,Wittorf,53.00993,9.51555,P,PPL,DE,1384
2807215,Wittnau,47.95,7.81667,P,PPLA4,DE,1423
2807218,Wittmund,53.57682,7.77571,P,PPLA3,DE,21355
2807224,Wittmoldt,54.1735,10.3537,P,PPLA4,DE,179
2807229,Wittmar,52.12969,10.64,P,PPLA4,DE,1391
2807238,Wittlingen,47.65527,7.65112,P,PPLA4,DE,976
2807240,Wittlich,49.98596,6.89308,P,PPLA3,DE,17887
2807254,Wittislingen,48.61917,10.41722,P,PPL,DE,2360
2807257,Wittingen,52.72694,10.73613,P,PPL,DE,12427
2807265,Wittichenau,51.38496,14.24403,P,PPL,DE,6261
2807267,Wittibreut,48.32921,12.98704,P,PPLA4,DE,0
2807276,Wittgert,50.5,7.7,P,PPLA4,DE,624
2807279,Wittgensdorf,50.88316,12.87031,P,PPL,DE,4440
2807283,Wittgendorf,50.97739,12.19487,P,PPL,DE,668
2807285,Wittgendorf,50.6,11.23333,P,PPLA4,DE,216
2807300,Witterda,51.03615,10.89028,P,PPLA4,DE,1153
2807325,Wittenhagen,54.18379,13.07133,P,PPL,DE,1358
2807327,Wittenförden,53.62917,11.32982,P,PPL,DE,2931
2807335,Wittenburg,53.50647,11.07898,P,PPLA4,DE,5041
2807337,Wittenborn,53.922,10.22065,P,PPLA4,DE,805
2807340,Wittenbergen,53.93345,9.68608,P,PPLA4,DE,173
2807344,Wittenberge,53.00005,11.74944,P,PPLA4,DE,20171
2807355,Wittenbeck,54.12262,11.78746,P,PPL,DE,757
2807360,Wittenau,52.59319,13.32127,P,PPLX,DE,24726
2807363,Witten,51.44362,7.35258,P,PPL,DE,101247
2807365,Wittelshofen,49.06121,10.48121,P,PPLA4,DE,1274
2807381,Wittdün,54.62695,8.38935,P,PPLA4,DE,650
2807388,Wittbek,54.47323,9.20603,P,PPLA4,DE,764
2807395,Witsum,54.69947,8.44057,P,PPLA4,DE,41
2807411,Wistedt,53.26667,9.68333,P,PPLA4,DE,1732
2807424,Wißmannsdorf,49.98333,6.45,P,PPLA4,DE,812
2807440,Wissen,50.77915,7.73466,P,PPL,DE,8547
2807465,Wismar,53.89218,11.45563,P,PPLA3,DE,45255
2807474,Wischroda,51.16453,11.55169,P,PPL,DE,511
2807484,Wischhafen,53.78333,9.31667,P,PPLA4,DE,3110
2807496,Wisch,54.4108,10.34279,P,PPLA4,DE,731
2807497,Wisch,54.41141,9.15061,P,PPLA4,DE,0
2807526,Wirschweiler,49.76667,7.16667,P,PPLA4,DE,384
2807527,Wirscheid,50.46667,7.66667,P,PPLA4,DE,307
2807528,Wirsberg,50.10572,11.60515,P,PPL,DE,2003
2807549,Wirges,50.47195,7.79844,P,PPL,DE,5201
2807551,Wirfus,50.2,7.2,P,PPLA4,DE,207
2807555,Wirft,50.36667,6.86667,P,PPLA4,DE,155
2807558,Wirdum,53.47667,7.20594,P,PPLA4,DE,1096
2807579,Wippra,51.573,11.27498,P,PPL,DE,1621
2807584,Wippingen,52.92339,7.40723,P,PPLA4,DE,881
2807594,Wipperfürth,51.1161,7.39865,P,PPL,DE,23723
2807596,Wipperdorf,51.4556,10.64388,P,PPLX,DE,1606
2807625,Wipfeld,49.91667,10.16667,P,PPLA4,DE,1126
2807640,Winzer,48.72285,13.07751,P,PPL,DE,3964
2807647,Winzenburg,51.93333,9.93333,P,PPLA4,DE,808
2807654,Wintzingerode,51.4432,10.33436,P,PPL,DE,582
2807660,Wintrich,49.88333,6.95,P,PPLA4,DE,941
2807663,Winterwerb,50.23639,7.73901,P,PPLA4,DE,183
2807685,Winterspelt,50.21667,6.21667,P,PPLA4,DE,826
2807693,Wintersheim,49.77861,8.28028,P,PPLA4,DE,312
2807696,Wintersdorf,51.0532,12.35445,P,PPL,DE,2978
2807704,Winterscheid,50.23333,6.25,P,PPLA4,DE,165
2807718,Winterrieden,48.12122,10.22581,P,PPLA4,DE,885
2807736,Winterlingen,48.18333,9.11667,P,PPLA4,DE,6722
2807748,Winterhude,53.59368,10.01123,P,PPLX,DE,56382
2807757,Winterhausen,49.70683,10.01661,P,PPL,DE,1558
2807775,Winterfeld,52.74043,11.24538,P,PPL,DE,638
2807778,Winterburg,49.86667,7.65,P,PPLA4,DE,226
2807783,Winterborn,49.75,7.86667,P,PPLA4,DE,193
2807788,Winterberg,51.19248,8.53468,P,PPL,DE,14601
2807822,Winterbach,49.86667,7.63333,P,PPLA4,DE,522
2807824,Winterbach,49.30305,7.47311,P,PPL,DE,554
2807825,Winterbach,48.79918,9.47914,P,PPLA4,DE,7844
2807827,Winterbach,48.46667,10.48333,P,PPLA4,DE,808
2807844,Winsen,53.8312,10.01633,P,PPLA4,DE,440
2807845,Winsen,53.35753,10.21282,P,PPLA3,DE,32662
2807846,Winsen,52.68301,9.91362,P,PPLA4,DE,12838
2807848,Winseldorf,53.94431,9.60632,P,PPLA4,DE,309
2807851,Winringen,50.15,6.41667,P,PPLA4,DE,68
2807852,Winnweiler,49.56667,7.85,P,PPLA4,DE,4850
2807858,Winningen,51.82297,11.45028,P,PPL,DE,792
2807859,Winningen,50.31667,7.51667,P,PPLA4,DE,2457
2807862,Winnigstedt,52.06629,10.76879,P,PPLA4,DE,912
2807864,Winnert,54.43318,9.2028,P,PPLA4,DE,788
2807868,Winnerath,50.42886,6.87658,P,PPLA4,DE,201
2807872,Winnenden,48.87563,9.39819,P,PPL,DE,28334
2807876,Winnen,50.57333,8.01167,P,PPLA4,DE,465
2807877,Winnemark,54.61606,9.92412,P,PPLA4,DE,507
