geonameid,name,latitude,longitude,feature_code,country_code,population
2077895,Alice Springs,-23.69748,133.88362,PPLA2,AU,25186
2077935,Aldinga,-35.28333,138.48333,PPLX,AU,546
2077937,Aldgate,-35.01667,138.73333,PPL,AU,3471
2077963,Albany,-35.02692,117.88369,PPLA2,AU,35053
2078025,Adelaide,-34.92866,138.59863,PPLA,AU,1469163
2078313,Eaton,-33.31664,115.70503,PPLX,AU,8166
2078317,Binningup,-33.1483,115.69519,PPL,AU,1205
2078451,Seacliff,-35.03474,138.52288,PPL,AU,1887
2078505,Clapham,-34.98989,138.60158,PPLX,AU,1592
2078703,Lancelin,-31.02251,115.33651,PPL,AU,693
2078732,Two Rocks,-31.49985,115.58737,PPLX,AU,2901
2078766,Quinns Rocks,-31.67379,115.70372,PPL,AU,8442
2078894,East Fremantle,-32.03823,115.7676,PPL,AU,7209
2078903,Peppermint Grove,-31.99878,115.7682,PPLX,AU,1610
2078904,Claremont,-31.97961,115.7823,PPL,AU,8033
2078907,Bicton,-32.02778,115.78333,PPLX,AU,6422
2078908,Attadale,-32.02489,115.802,PPLX,AU,6196
2078909,Shenton Park,-31.95575,115.79807,PPLX,AU,4507
2078912,Dalkeith,-31.99517,115.7998,PPLX,AU,4148
2079019,Cervantes,-30.49611,115.06716,PPL,AU,553
2079020,Jurien Bay,-30.30591,115.03825,PPL,AU,1773
2079175,Drummond Cove,-28.67379,114.6128,PPLX,AU,1415
2079183,Warnbro,-32.34017,115.7473,PPLX,AU,10828
2079189,Mullaloo,-31.77896,115.73676,PPLL,AU,5794
2079492,Exmouth,-21.93063,114.12091,PPL,AU,3692
2079582,Alyangula,-13.85413,136.42129,PPL,AU,1191
2079686,Stuart Park,-12.4486,130.84249,PPLX,AU,4168
2079691,Larrakeyah,-12.45527,130.83172,PPLX,AU,4245
2079692,Leanyer,-12.36667,130.9,PPLX,AU,4557
2079693,Ludmilla,-12.42032,130.85506,PPLX,AU,1743
2079695,Fannie Bay,-12.42275,130.83627,PPLX,AU,2688
2079696,Nightcliff,-12.38299,130.8517,PPLX,AU,3810
2079707,Glen Iris,-33.33713,115.6743,PPLX,AU,2911
2079796,Lower King,-34.95778,117.93833,PPLX,AU,1755
2142185,Zeehan,-41.88342,145.33623,PPL,AU,751
2142206,Yungaburra,-17.27058,145.58335,PPL,AU,1357
2142245,Young,-34.3135,148.30107,PPL,AU,10160
2142273,Yoogali,-34.29944,146.08443,PPL,AU,1236
2142281,Yinnar South,-38.38333,146.38333,PPL,AU,658
2142282,Yinnar,-38.32252,146.32921,PPL,AU,863
2142301,Yerrinbool,-34.36884,150.53848,PPL,AU,1146
2142316,Yeppoon,-23.12683,150.74406,PPL,AU,7037
2142330,Yenda,-34.24525,146.20273,PPL,AU,1488
2142392,Yea,-37.21067,145.42755,PPL,AU,1789
2142409,Yatala,-27.71667,153.21667,PPLX,AU,1334
2142412,Yass,-34.84036,148.90987,PPL,AU,6454
